;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
404;31;NL40_C-369295__NL40_HOP_1011;0.0;58700.0;0.0007;0.0052;0.0;0.001;3500.0;4500.0;115.0;10300.0;0.0054;0.0;0.0;0.0014;0.0029;0.0;0.0054;0.0027;0.0023;0.0;160.0;460.0;20.3;7.8;0.0032
422;32;NL38_75743__NL38_340438;0.0017;61000.0;0.0001;0.0045;0.0;0.0025;1000.0;1900.0;78.0;6800.0;0.0062;0.0009;0.0006;0.0028;0.0072;0.0006;0.0087;0.0034;0.0042;0.0;92.0;320.0;21.4;7.5;0.0035
423;32;NL38_75761__NL38_140216;0.0;49200.0;0.0028;0.0022;0.0;0.0006;620.0;2300.0;79.0;7400.0;0.005;0.0;0.0;0.0025;0.012;0.0;0.0049;0.0012;0.006;0.0;39.5;170.0;18.5;7.7;0.0018
424;32;NL40_C-369304__NL40_FO_03;0.0;267000.0;0.0;0.00454;0.0;0.00164;1400.0;2700.0;60.0;5700.0;0.0113;0.000469;0.000295;0.00238;0.00407;0.000614;0.00647;0.00211;0.00606;0.0;56.5;180.0;17.4;7.6;0.00238
425;32;NL40_C-369443__NL40_BO_15;0.0;139000.0;0.0;0.00558;0.000104;0.00106;640.0;1600.0;66.0;5900.0;0.00696;0.000239;0.000375;0.00358;0.00891;0.000681;0.0047;0.00253;0.00783;0.0;234.0;300.0;20.5;7.8;0.0022
426;32;NL40_C-369460__NL40_YOP_0801;0.048;70700.0;0.0027;0.0099;0.0;0.0018;1700.0;2300.0;67.0;6100.0;0.012;0.0;0.0008;0.0039;0.0087;0.001;0.023;0.02;0.0079;0.0;28.0;180.0;20.0;7.7;0.018
436;33;NL40_C-369609__NL40_FOP_1710;0.0;96200.0;0.0;0.00474;0.0;0.00089;680.0;1900.0;77.0;7100.0;0.00473;0.000204;0.000268;0.0015;0.00286;0.000393;0.0027;0.00209;0.00416;0.0;69.5;150.0;18.9;7.8;0.00163
437;33;NL40_C-369655__NL40_YOP_0132;0.017;70300.0;0.0044;0.011;0.0;0.002;720.0;1000.0;38.0;3600.0;0.015;0.0;0.0016;0.0093;0.027;0.0019;0.041;0.011;0.016;0.0;70.8;160.0;17.9;7.4;0.0069
439;33;NL40_C-369661__NL40_BO_95;0.0;415000.0;0.0019;0.0074;0.0;0.011;840.0;900.0;80.0;7400.0;0.018;0.0015;0.0007;0.0094;0.025;0.0026;0.04;0.013;0.02;0.0;15.2;34.0;19.2;8.2;0.018
440;33;NL40_C-369662__NL40_BO_95DIEP;0.0;415000.0;0.0019;0.0071;0.0005;0.011;880.0;950.0;65.0;6000.0;0.017;0.0015;0.0007;0.0098;0.025;0.0027;0.042;0.013;0.021;0.0;14.2;38.0;18.7;7.9;0.019
451;35;NL38_75075__NL38_140216;0.0022;91900.0;0.0042;0.0051;0.0;0.0007;1100.0;2800.0;74.0;6900.0;0.0059;0.0;0.0;0.0031;0.012;0.0;0.0067;0.0014;0.009;0.0;90.8;260.0;18.7;7.7;0.0018
452;35;NL38_75076__NL38_342420;0.0021;67300.0;0.0015;0.0039;0.0;0.0009;980.0;3200.0;76.0;6900.0;0.0071;0.0;0.0006;0.003;0.0067;0.0007;0.0057;0.0018;0.0084;0.0;108.0;180.0;19.5;7.5;0.0018
455;35;NL40_C-369751__NL40_BO_95;0.0;452000.0;0.0019;0.0081;0.0006;0.013;860.0;890.0;95.0;8700.0;0.017;0.0018;0.0007;0.013;0.026;0.0027;0.044;0.014;0.024;0.0;7.35;34.0;19.1;8.3;0.019
456;35;NL40_C-369753__NL40_DWOP0703;0.0;116000.0;0.0048;0.0099;0.0;0.0019;1200.0;1700.0;45.0;4400.0;0.013;0.0;0.0;0.0046;0.013;0.0008;0.035;0.004;0.012;0.0;26.2;86.0;17.3;7.6;0.005
457;35;NL40_C-369754__NL40_DWOP0705;0.0;132000.0;0.0072;0.0075;0.0;0.0015;1200.0;1300.0;53.0;20000.0;0.013;0.0;0.0009;0.0082;0.0097;0.0014;0.065;0.0029;0.0092;0.0;28.6;120.0;17.1;7.7;0.0044
458;35;NL40_C-369759__NL40_DWOP1002;0.0;53800.0;0.0032;0.006;0.0;0.0013;1400.0;1500.0;47.0;4500.0;0.0055;0.0;0.0;0.0033;0.0044;0.0007;0.024;0.0027;0.0049;0.0;65.2;220.0;18.0;7.7;0.0034
459;35;NL40_C-369761__NL40_DWOP1005;0.0;67700.0;0.0075;0.0065;0.0;0.0013;1500.0;1600.0;63.0;6000.0;0.014;0.0;0.0006;0.033;0.05;0.0018;0.093;0.0042;0.02;0.0;11.4;110.0;18.2;7.9;0.0056
460;35;NL40_C-369763__NL40_FO_03;0.0;380000.0;0.0;0.00472;0.0;0.000908;1000.0;2200.0;70.0;6500.0;0.0106;0.00025;0.000256;0.00168;0.00295;0.000414;0.00423;0.0021;0.00359;0.0;52.2;76.0;19.3;7.8;0.00199
